title,authors,categories,average_rating,ratings_count,combined_features
The Mimic Men,V. S. Naipaul,British,3.39,809.0,The Mimic Men V. S. Naipaul British
A Bend in the River,V. S. Naipaul,Fiction,3.77,12714.0,A Bend in the River V. S. Naipaul Fiction
The Enigma of Arrival,V. S. Naipaul,England,3.69,994.0,The Enigma of Arrival V. S. Naipaul England
A House for Mr Biswas,Vidiadhar Surajprasad Naipaul,Autonomy (Psychology).,3.82,14782.0,A House for Mr Biswas Vidiadhar Surajprasad Naipaul Autonomy (Psychology).
The Hunters,Claire Messud,American fiction,3.4,384.0,The Hunters Claire Messud American fiction
Dirt Music,Tim Winton,Fiction,3.86,9121.0,Dirt Music Tim Winton Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Dent, Arthur (Fictitious character)",4.22,2918.0,"The Hitchhiker's Guide to the Galaxy Douglas Adams Dent, Arthur (Fictitious character)"
Ragtime,E. L. Doctorow,Fiction,3.88,57.0,Ragtime E. L. Doctorow Fiction
City on the Seine,Andrew P. Trout,Paris (France),4.17,0.0,City on the Seine Andrew P. Trout Paris (France)
Fire on the Mountain (Hb),Adam Hochschild,Antislavery movements,4.27,13.0,Fire on the Mountain (Hb) Adam Hochschild Antislavery movements
"The Poet, the Warrior, the Prophet",Rubem A. Alves,Religion,4.43,25.0,"The Poet, the Warrior, the Prophet Rubem A. Alves Religion"
From Russia with Love,Ian Fleming,Adventure stories,3.89,10.0,From Russia with Love Ian Fleming Adventure stories
Casino Royale,Ian Fleming,"Bond, James (Fictitious character)",3.73,54.0,"Casino Royale Ian Fleming Bond, James (Fictitious character)"
The Walls of Spyte,Dave Morris;Oliver Johnson;Jamie Thomson;Russ Nicholson;Geoff Wingate,Fantasy,4.33,22.0,The Walls of Spyte Dave Morris;Oliver Johnson;Jamie Thomson;Russ Nicholson;Geoff Wingate Fantasy
How the Irish Saved Civilization,Thomas Cahill,Books,3.81,88.0,How the Irish Saved Civilization Thomas Cahill Books
Escape,James Clavell,Fiction,3.62,258.0,Escape James Clavell Fiction
Flatmates,Chris Manby,Apartments,3.53,207.0,Flatmates Chris Manby Apartments
Crucifix Lane,Kate Mosse,London (England),3.4,41.0,Crucifix Lane Kate Mosse London (England)
Shōgun,James Clavell,British,4.38,4863.0,Shōgun James Clavell British
Whirlwind,James Clavell,Fiction,3.81,5444.0,Whirlwind James Clavell Fiction
Running Away from Richard,Chris Manby,Actresses,3.47,378.0,Running Away from Richard Chris Manby Actresses
"The Road to War, 1933-1939",Andrew Hunt,Germany,0.0,0.0,"The Road to War, 1933-1939 Andrew Hunt Germany"
Five on a Treasure Island,Enid Blyton,Adventure stories,4.08,18308.0,Five on a Treasure Island Enid Blyton Adventure stories
Five Go Adventuring Again,Enid Blyton,Children's stories,4.01,11757.0,Five Go Adventuring Again Enid Blyton Children's stories
Five Go to Smuggler's Top,Enid Blyton,Children's stories,4.05,11708.0,Five Go to Smuggler's Top Enid Blyton Children's stories
Five Get Into a Fix,Enid Blyton,"Adventure stories, English",3.93,4706.0,"Five Get Into a Fix Enid Blyton Adventure stories, English"
Five Have a Mystery to Solve,Enid Blyton,Children's stories,3.9,5136.0,Five Have a Mystery to Solve Enid Blyton Children's stories
On Writing,Stephen King,"Authors, American",4.33,1072.0,"On Writing Stephen King Authors, American"
Girl Meets Ape,Chris Manby,Animal sanctuaries,3.44,526.0,Girl Meets Ape Chris Manby Animal sanctuaries
The Waste Lands,Stephen King,Adventure fiction,4.24,1073.0,The Waste Lands Stephen King Adventure fiction
The Art of Happiness at Work,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler,Buddhism,4.16,1583.0,The Art of Happiness at Work Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler Buddhism
Stranger in a Strange Land,Robert A. Heinlein,Science fiction,3.92,563.0,Stranger in a Strange Land Robert A. Heinlein Science fiction
Interstellar Pig,William Sleator,Human-alien encounters,3.88,2067.0,Interstellar Pig William Sleator Human-alien encounters
Nightingale's Song,Kate Pennington,Juvenile Fiction,3.0,40.0,Nightingale's Song Kate Pennington Juvenile Fiction
The Secret Seven,Enid Blyton,Adventure fiction,3.86,6615.0,The Secret Seven Enid Blyton Adventure fiction
A Fish Dinner in Memison,Eric Rucker Eddison,Fantasy,3.87,30.0,A Fish Dinner in Memison Eric Rucker Eddison Fantasy
Tales of the Cthulhu Mythos,Howard Phillips Lovecraft,Horror tales,4.2,20.0,Tales of the Cthulhu Mythos Howard Phillips Lovecraft Horror tales
Visions from Nowhere,William Arrow,Science fiction,3.23,10.0,Visions from Nowhere William Arrow Science fiction
The best of Philip K. Dick,Philip K. Dick,Fiction,4.22,614.0,The best of Philip K. Dick Philip K. Dick Fiction
"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",J.R.R. Tolkien,Fiction,3.97,1240.0,"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo J.R.R. Tolkien Fiction"
The Centurions,Damion Hunter,Fiction,4.14,34.0,The Centurions Damion Hunter Fiction
Story of O,Pauline Réage,Fiction,3.33,11942.0,Story of O Pauline Réage Fiction
The Crucible of Time,John Brunner,Fiction,3.71,24.0,The Crucible of Time John Brunner Fiction
On a pale horse,Piers Anthony,Fiction,4.13,152.0,On a pale horse Piers Anthony Fiction
"Job, a Comedy of Justice",Robert Anson Heinlein,Fiction,3.78,15580.0,"Job, a Comedy of Justice Robert Anson Heinlein Fiction"
Bridge of Birds,"Barry Hughart;E. E. ""Doc"" Smith;Joel Rosenbreg;Kathryn Lance;Lin Carter",Fantasy,4.29,8786.0,"Bridge of Birds Barry Hughart;E. E. ""Doc"" Smith;Joel Rosenbreg;Kathryn Lance;Lin Carter Fantasy"
With Friends Like These,Alan Dean Foster,Fiction,3.94,2233.0,With Friends Like These Alan Dean Foster Fiction
The Doom that Came to Sarnath,Howard Phillips Lovecraft,Fiction,4.12,2734.0,The Doom that Came to Sarnath Howard Phillips Lovecraft Fiction
Mission to Moulokin,Alan Dean Foster,Fiction,3.86,34.0,Mission to Moulokin Alan Dean Foster Fiction
The Belgariad Boxed Set,David Eddings,Fiction,4.27,13225.0,The Belgariad Boxed Set David Eddings Fiction
The Tolkien Reader,J. R. R. Tolkien,Fiction,3.99,4092.0,The Tolkien Reader J. R. R. Tolkien Fiction
The Dragons of Eden,Carl Sagan,Nature,4.17,14974.0,The Dragons of Eden Carl Sagan Nature
The Best of H.P. Lovecraft,H. P. Lovecraft,Fiction,4.31,26613.0,The Best of H.P. Lovecraft H. P. Lovecraft Fiction
The Adversary,Julian May,Science,4.22,4286.0,The Adversary Julian May Science
Five Patients,Michael Crichton,Social Science,3.48,4717.0,Five Patients Michael Crichton Social Science
Douglas Adams's Starship Titanic,Terry Jones,Fiction,3.6,864.0,Douglas Adams's Starship Titanic Terry Jones Fiction
Anne Rice's the Vampire Lestat,Faye Perozich;Anne Rice;Daerick Gross,Humor,4.19,67983.0,Anne Rice's the Vampire Lestat Faye Perozich;Anne Rice;Daerick Gross Humor
The Book of Lost Tales,John Ronald Reuel Tolkien,Fiction,3.83,10413.0,The Book of Lost Tales John Ronald Reuel Tolkien Fiction
Long Distance Life,Marita Golden,African American families,3.84,15896.0,Long Distance Life Marita Golden African American families
The Proud Highway,Hunter S. Thompson,Biography & Autobiography,4.14,2898.0,The Proud Highway Hunter S. Thompson Biography & Autobiography
The Transition of H.P. Lovecraft,Howard Phillips Lovecraft,Fiction,4.3,9380.0,The Transition of H.P. Lovecraft Howard Phillips Lovecraft Fiction
A history of God,Karen Armstrong,God (Christianity),3.87,1298.0,A history of God Karen Armstrong God (Christianity)
The Battle for God,Karen Armstrong,Religion,3.93,5573.0,The Battle for God Karen Armstrong Religion
Better Than Sex,Hunter S. Thompson,Language Arts & Disciplines,3.76,4305.0,Better Than Sex Hunter S. Thompson Language Arts & Disciplines
First King of Shannara,Terry Brooks,Fiction,3.96,841.0,First King of Shannara Terry Brooks Fiction
Ilse Witch,Terry Brooks,Fiction,3.96,15491.0,Ilse Witch Terry Brooks Fiction
Waterborn,J. Gregory Keyes,Fiction,3.8,74.0,Waterborn J. Gregory Keyes Fiction
Cry to Heaven,Anne Rice,Fiction,3.84,17761.0,Cry to Heaven Anne Rice Fiction
The Vampire Companion,Katherine M. Ramsland;Anne Rice,Fiction,3.93,4704.0,The Vampire Companion Katherine M. Ramsland;Anne Rice Fiction
Starshield Sentinels,Margaret Weis;Tracy Hickman,Fiction,3.51,179.0,Starshield Sentinels Margaret Weis;Tracy Hickman Fiction
The Mantle of Kendis-Dai,Margaret Weis;Tracy Hickman,Fiction,3.61,191.0,The Mantle of Kendis-Dai Margaret Weis;Tracy Hickman Fiction
The Children of Henry VIII,Alison Weir,Biography & Autobiography,4.04,10834.0,The Children of Henry VIII Alison Weir Biography & Autobiography
The demon-haunted world,Carl Sagan,"Body, Mind & Spirit",4.27,47399.0,"The demon-haunted world Carl Sagan Body, Mind & Spirit"
Twister,Michael Crichton;Anne-Marie Martin,Motion picture plays,3.63,17.0,Twister Michael Crichton;Anne-Marie Martin Motion picture plays
Does Anybody Have a Problem with That?,Bill Maher,Humor,3.49,181.0,Does Anybody Have a Problem with That? Bill Maher Humor
Friday,Robert Anson Heinlein,Fiction,3.83,22702.0,Friday Robert Anson Heinlein Fiction
The 158-Pound Marriage,John Irving,Fiction,3.24,11124.0,The 158-Pound Marriage John Irving Fiction
The Princess Bride,William Goldman,Fiction,4.26,673146.0,The Princess Bride William Goldman Fiction
Reunion,Alan Dean Foster,Fiction,3.87,1339.0,Reunion Alan Dean Foster Fiction
Mostly Harmless,Douglas Adams,Fiction,3.97,72235.0,Mostly Harmless Douglas Adams Fiction
"Life, the Universe and Everything",Douglas Adams,Fiction,4.2,158946.0,"Life, the Universe and Everything Douglas Adams Fiction"
The Eight,Katherine Neville,Fiction,3.92,530.0,The Eight Katherine Neville Fiction
The Queen of the Damned,Anne Rice,Fiction,3.88,118857.0,The Queen of the Damned Anne Rice Fiction
The Tale of the Body Thief,Anne Rice,Fiction,3.72,71219.0,The Tale of the Body Thief Anne Rice Fiction
While I Was Gone,Sue Miller,Fiction,3.68,232.0,While I Was Gone Sue Miller Fiction
Merrick,Anne Rice,FICTION,3.72,34824.0,Merrick Anne Rice FICTION
The Straight Dope,Cecil Adams;Ed Zotti,Humor,4.19,581.0,The Straight Dope Cecil Adams;Ed Zotti Humor
Nightsword,Margaret Weis;Tracy Hickman,Fiction,3.66,155.0,Nightsword Margaret Weis;Tracy Hickman Fiction
The Virtues of Aging,Jimmy Carter,Biography & Autobiography,3.51,196.0,The Virtues of Aging Jimmy Carter Biography & Autobiography
Trust Fund,Stephen Frey,Fiction,3.72,587.0,Trust Fund Stephen Frey Fiction
"Star Wars, Episode I",George Lucas,Fiction,3.92,257.0,"Star Wars, Episode I George Lucas Fiction"
The King of Elfland's Daughter,Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,3.84,4718.0,The King of Elfland's Daughter Edward John Moreton Drax Plunkett Baron Dunsany Fiction
Omerta,Mario Puzo,Fiction,3.7,11872.0,Omerta Mario Puzo Fiction
The Genome War,James Shreeve,Science,3.81,259.0,The Genome War James Shreeve Science
The Analects of Confucius,Confucius;Roger T. Ames;Henry Rosemont,Fiction,3.84,164.0,The Analects of Confucius Confucius;Roger T. Ames;Henry Rosemont Fiction
The Real James Herriot,James Wight;Jim Wight,Biography & Autobiography,4.2,4178.0,The Real James Herriot James Wight;Jim Wight Biography & Autobiography
Angel Fire East,Terry Brooks,Fiction,4.1,546.0,Angel Fire East Terry Brooks Fiction
Morgawr,Terry Brooks,Fiction,3.97,13817.0,Morgawr Terry Brooks Fiction
Tanequil,Terry Brooks,Fiction,3.98,10507.0,Tanequil Terry Brooks Fiction
The Dress Lodger,Sheri Holman,Fiction,3.57,6574.0,The Dress Lodger Sheri Holman Fiction
Henry VIII,Alison Weir,Biography & Autobiography,4.17,10137.0,Henry VIII Alison Weir Biography & Autobiography
The Case of the Curious Bride,Erle Stanley Gardner,Fiction,3.86,1519.0,The Case of the Curious Bride Erle Stanley Gardner Fiction
The Courtesan,Susan Carroll,Fiction,3.9,2186.0,The Courtesan Susan Carroll Fiction
The Collapse of the Common Good,Philip K. Howard,Political Science,3.92,58.0,The Collapse of the Common Good Philip K. Howard Political Science
Drowning Ruth,Christina Schwarz,Fiction,3.74,72319.0,Drowning Ruth Christina Schwarz Fiction
The Best of Lester Del Rey,Lester Del Rey,Fiction,3.8,73.0,The Best of Lester Del Rey Lester Del Rey Fiction
I Am the One that I Want,Margaret Cho,Humor,3.69,1437.0,I Am the One that I Want Margaret Cho Humor
Schmidt Delivered,Louis Begley,Fiction,3.59,104.0,Schmidt Delivered Louis Begley Fiction
Black House,Stephen King;Peter Straub,Fiction,4.0,368.0,Black House Stephen King;Peter Straub Fiction
My Movie Business,John Irving,Biography & Autobiography,3.33,1098.0,My Movie Business John Irving Biography & Autobiography
The Dark Arena,Mario Puzo,Fiction,3.35,1515.0,The Dark Arena Mario Puzo Fiction
The Sicilian,Mario Puzo,Fiction,3.96,15801.0,The Sicilian Mario Puzo Fiction
Time to Be in Earnest,P. D. James,Biography & Autobiography,3.94,479.0,Time to Be in Earnest P. D. James Biography & Autobiography
The Silent Gondoliers,William Goldman,Fiction,3.8,1290.0,The Silent Gondoliers William Goldman Fiction
Welcome to the Great Mysterious,Lorna Landvik,Fiction,3.77,2353.0,Welcome to the Great Mysterious Lorna Landvik Fiction
While I was Gone,Sue Miller,Fiction,3.68,55166.0,While I was Gone Sue Miller Fiction
A Stroke of Midnight,Laurell K. Hamilton,Fiction,4.07,28124.0,A Stroke of Midnight Laurell K. Hamilton Fiction
The Talisman,Stephen King;Peter Straub,Fiction,4.13,2229.0,The Talisman Stephen King;Peter Straub Fiction
Lights Out,Peter Abrahams,Fiction,3.66,207.0,Lights Out Peter Abrahams Fiction
Edge of Victory II,Greg Keyes,Fiction,3.77,6333.0,Edge of Victory II Greg Keyes Fiction
Death in Holy Orders,P. D. James,Fiction,3.92,9511.0,Death in Holy Orders P. D. James Fiction
A Chosen Few,Mark Kurlansky,History,3.87,45.0,A Chosen Few Mark Kurlansky History
Boogaloo on 2nd Avenue,Mark Kurlansky,Fiction,3.15,182.0,Boogaloo on 2nd Avenue Mark Kurlansky Fiction
Star Wars,Daniel Wallace,Fiction,3.96,355.0,Star Wars Daniel Wallace Fiction
Flinx's Folly,Alan Dean Foster,Fiction,3.94,1729.0,Flinx's Folly Alan Dean Foster Fiction
Clay's Quilt,Silas House,Fiction,3.95,2588.0,Clay's Quilt Silas House Fiction
Sunstorm,Arthur Charles Clarke;Stephen Baxter,Fiction,3.83,3894.0,Sunstorm Arthur Charles Clarke;Stephen Baxter Fiction
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,4.38,240189.0,The Ultimate Hitchhiker's Guide to the Galaxy Douglas Adams Fiction
Shadow Dance,Julie Garwood,Fiction,4.0,10943.0,Shadow Dance Julie Garwood Fiction
1968,Mark Kurlansky,History,3.78,1933.0,1968 Mark Kurlansky History
The Probable Future,Alice Hoffman,Fiction,3.83,11612.0,The Probable Future Alice Hoffman Fiction
The Belgariad V.2,David Eddings,Fantasy,4.28,14129.0,The Belgariad V.2 David Eddings Fantasy
The Vampire Chronicles Collection,Anne Rice,Fiction,4.27,481.0,The Vampire Chronicles Collection Anne Rice Fiction
Altered Carbon,Richard K. Morgan,Fiction,4.06,52810.0,Altered Carbon Richard K. Morgan Fiction
Market Forces,Richard K. Morgan,Fiction,3.59,5398.0,Market Forces Richard K. Morgan Fiction
Tales Before Tolkien,Douglas A. Anderson,Fiction,3.94,1119.0,Tales Before Tolkien Douglas A. Anderson Fiction
Body Double,tess girritsen,Fiction,4.18,34772.0,Body Double tess girritsen Fiction
Lost and Found,Alan Dean Foster,Fiction,3.68,702.0,Lost and Found Alan Dean Foster Fiction
The Light-Years Beneath My Feet,Alan Dean Foster,Fiction,3.73,445.0,The Light-Years Beneath My Feet Alan Dean Foster Fiction
To The Last Man,Jeff Shaara,Fiction,4.22,4656.0,To The Last Man Jeff Shaara Fiction
Sliding Scales,Alan Dean Foster,Fiction,3.87,1149.0,Sliding Scales Alan Dean Foster Fiction
Running from the Deity,Alan Dean Foster,Fiction,3.8,1025.0,Running from the Deity Alan Dean Foster Fiction
Judas Unchained,Peter F. Hamilton,Fiction,4.31,707.0,Judas Unchained Peter F. Hamilton Fiction
The Swarm War,Troy Denning,Fiction,3.49,3756.0,The Swarm War Troy Denning Fiction
Yoda,Sean Stewart,Fiction,3.88,3889.0,Yoda Sean Stewart Fiction
The Fourth Hand,John Irving,Fiction,3.31,24758.0,The Fourth Hand John Irving Fiction
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,Fiction,3.96,1018.0,Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft H. P. Lovecraft Fiction
Saving Fish from Drowning,Amy Tan,Fiction,3.43,26172.0,Saving Fish from Drowning Amy Tan Fiction
A Parchment of Leaves,Silas House,Fiction,4.17,3049.0,A Parchment of Leaves Silas House Fiction
The Heritage of Shannara,Terry Brooks,Fiction,4.28,3548.0,The Heritage of Shannara Terry Brooks Fiction
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,Self-Help,4.03,16935.0,All I Really Need to Know I Learned in Kindergarten Robert Fulghum Self-Help
Perfect Nightmare,John Saul,Fiction,3.89,3607.0,Perfect Nightmare John Saul Fiction
The Franklin Affair,Jim Lehrer,Fiction,3.12,141.0,The Franklin Affair Jim Lehrer Fiction
Oh My Stars,Lorna Landvik,Fiction,3.89,5339.0,Oh My Stars Lorna Landvik Fiction
The Chronicles of Riddick,Alan Dean Foster,Fiction,3.95,1352.0,The Chronicles of Riddick Alan Dean Foster Fiction
The Amateur Marriage,Anne Tyler,Fiction,3.61,12584.0,The Amateur Marriage Anne Tyler Fiction
The Guns of August,Barbara Wertheim Tuchman,History,4.18,40624.0,The Guns of August Barbara Wertheim Tuchman History
Wish You Were Here,Nick Webb,Biography & Autobiography,4.14,2548.0,Wish You Were Here Nick Webb Biography & Autobiography
The Fortunate Pilgrim,Mario Puzo,Biography & Autobiography,3.82,3074.0,The Fortunate Pilgrim Mario Puzo Biography & Autobiography
The Vampire Lestat,Anne Rice,Fiction,4.07,152168.0,The Vampire Lestat Anne Rice Fiction
Vanish,Tess Gerritsen,Fiction,4.12,45210.0,Vanish Tess Gerritsen Fiction
Darth Bane,Drew Karpyshyn,Fiction,4.27,15796.0,Darth Bane Drew Karpyshyn Fiction
Tempest,Troy Denning,Fiction,3.82,5577.0,Tempest Troy Denning Fiction
Tsubasa,CLAMP (Mangaka group),Juvenile Fiction,4.29,3392.0,Tsubasa CLAMP (Mangaka group) Juvenile Fiction
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass;Harriet Jacobs,Biography & Autobiography,4.0,966.0,"Narrative of the Life of Frederick Douglass, an American Slave Frederick Douglass;Harriet Jacobs Biography & Autobiography"
Already Dead,Charlie Huston,Fiction,3.79,8322.0,Already Dead Charlie Huston Fiction
No Dominion,Charlie Huston,Fiction,3.99,4599.0,No Dominion Charlie Huston Fiction
A Slipping-down Life,Anne Tyler,Fiction,3.6,3261.0,A Slipping-down Life Anne Tyler Fiction
Trump,Donald Trump,Biography & Autobiography,3.65,11727.0,Trump Donald Trump Biography & Autobiography
Ego & Hubris,Harvey Pekar,Biography & Autobiography,3.65,376.0,Ego & Hubris Harvey Pekar Biography & Autobiography
